label,count,mean_ratio,delta_from_mean,band
\mathbb{N},51,0.112444,-402.558266,at_or_below_0.25x_mean
j,52,0.114649,-401.558266,at_or_below_0.25x_mean
\mathbb{Q},53,0.116854,-400.558266,at_or_below_0.25x_mean
E,54,0.119059,-399.558266,at_or_below_0.25x_mean
X,54,0.119059,-399.558266,at_or_below_0.25x_mean
T,55,0.121263,-398.558266,at_or_below_0.25x_mean
Y,55,0.121263,-398.558266,at_or_below_0.25x_mean
p,55,0.121263,-398.558266,at_or_below_0.25x_mean
F,56,0.123468,-397.558266,at_or_below_0.25x_mean
V,56,0.123468,-397.558266,at_or_below_0.25x_mean
\mathbb{R},56,0.123468,-397.558266,at_or_below_0.25x_mean
\wr,56,0.123468,-397.558266,at_or_below_0.25x_mean
g,56,0.123468,-397.558266,at_or_below_0.25x_mean
l,56,0.123468,-397.558266,at_or_below_0.25x_mean
w,56,0.123468,-397.558266,at_or_below_0.25x_mean
b,57,0.125673,-396.558266,at_or_below_0.25x_mean
m,57,0.125673,-396.558266,at_or_below_0.25x_mean
u,57,0.125673,-396.558266,at_or_below_0.25x_mean
D,58,0.127878,-395.558266,at_or_below_0.25x_mean
d,58,0.127878,-395.558266,at_or_below_0.25x_mean
h,58,0.127878,-395.558266,at_or_below_0.25x_mean
k,58,0.127878,-395.558266,at_or_below_0.25x_mean
y,58,0.127878,-395.558266,at_or_below_0.25x_mean
U,59,0.130083,-394.558266,at_or_below_0.25x_mean
i,59,0.130083,-394.558266,at_or_below_0.25x_mean
s,59,0.130083,-394.558266,at_or_below_0.25x_mean
\blacktriangleright,60,0.132287,-393.558266,at_or_below_0.25x_mean
z,60,0.132287,-393.558266,at_or_below_0.25x_mean
4,61,0.134492,-392.558266,at_or_below_0.25x_mean
B,61,0.134492,-392.558266,at_or_below_0.25x_mean
n,61,0.134492,-392.558266,at_or_below_0.25x_mean
r,61,0.134492,-392.558266,at_or_below_0.25x_mean
W,62,0.136697,-391.558266,at_or_below_0.25x_mean
o,62,0.136697,-391.558266,at_or_below_0.25x_mean
S,63,0.138902,-390.558266,at_or_below_0.25x_mean
e,63,0.138902,-390.558266,at_or_below_0.25x_mean
v,63,0.138902,-390.558266,at_or_below_0.25x_mean
H,64,0.141106,-389.558266,at_or_below_0.25x_mean
